date,total_profit_DA,total_profit_Hybrid,market_used,cumulative_baseline,cumulative_strategy,total_profit
2025-06-07,412.84999999999997,412.84999999999997,Day Ahead,87033.35000000003,88264.05000000005,412.84999999999997
2025-06-08,237.79999999999995,237.79999999999995,Day Ahead,87271.15000000004,88501.85000000005,237.79999999999995
2025-06-09,541.45,541.45,Day Ahead,87812.60000000003,89043.30000000005,541.45
2025-06-10,553.6499999999999,553.6499999999999,Day Ahead,88366.25000000003,89596.95000000004,553.6499999999999
2025-06-11,344.54999999999995,344.54999999999995,Day Ahead,88710.80000000003,89941.50000000004,344.54999999999995
2025-06-12,401.1,401.1,Day Ahead,89111.90000000004,90342.60000000005,401.1
2025-06-13,403.0,403.0,Day Ahead,89514.90000000004,90745.60000000005,403.0
2025-06-14,473.95,473.95,Day Ahead,89988.85000000003,91219.55000000005,473.95
2025-06-15,333.55,333.55,Day Ahead,90322.40000000004,91553.10000000005,333.55
2025-06-16,455.30000000000007,455.30000000000007,Day Ahead,90777.70000000004,92008.40000000005,455.30000000000007
2025-06-17,481.90000000000003,481.90000000000003,Day Ahead,91259.60000000003,92490.30000000005,481.90000000000003
2025-06-18,512.95,512.95,Day Ahead,91772.55000000003,93003.25000000004,512.95
2025-06-19,398.65,398.65,Day Ahead,92171.20000000003,93401.90000000004,398.65
2025-06-20,524.8,524.8,Day Ahead,92696.00000000003,93926.70000000004,524.8
2025-06-21,457.45000000000005,457.45000000000005,Day Ahead,93153.45000000003,94384.15000000004,457.45000000000005
2025-06-22,556.15,556.15,Day Ahead,93709.60000000002,94940.30000000003,556.15
2025-06-23,656.0,1361.8500000000001,Balancing,94365.60000000002,96302.15000000004,1361.8500000000001
2025-06-24,363.15,363.15,Day Ahead,94728.75000000001,96665.30000000003,363.15
2025-06-25,636.55,636.55,Day Ahead,95365.30000000002,97301.85000000003,636.55
2025-06-26,469.5,469.5,Day Ahead,95834.80000000002,97771.35000000003,469.5
2025-06-27,570.1499999999999,570.1499999999999,Day Ahead,96404.95000000001,98341.50000000003,570.1499999999999
2025-06-28,281.1,281.1,Day Ahead,96686.05000000002,98622.60000000003,281.1
2025-06-29,306.55,306.55,Day Ahead,96992.60000000002,98929.15000000004,306.55
2025-06-30,470.4500000000001,470.4500000000001,Day Ahead,97463.05000000002,99399.60000000003,470.4500000000001
2025-07-01,545.2,545.2,Day Ahead,98008.25000000001,99944.80000000003,545.2
2025-07-02,355.1,355.1,Day Ahead,98363.35000000002,100299.90000000004,355.1
2025-07-03,390.4,390.4,Day Ahead,98753.75000000001,100690.30000000003,390.4
2025-07-04,465.8499999999999,465.8499999999999,Day Ahead,99219.60000000002,101156.15000000004,465.8499999999999
2025-07-05,526.8000000000001,526.8000000000001,Day Ahead,99746.40000000002,101682.95000000004,526.8000000000001
2025-07-06,141.95000000000002,141.95000000000002,Day Ahead,99888.35000000002,101824.90000000004,141.95000000000002
2025-07-07,432.85,432.85,Day Ahead,100321.20000000003,102257.75000000004,432.85
2025-07-08,408.70000000000005,408.70000000000005,Day Ahead,100729.90000000002,102666.45000000004,408.70000000000005
2025-07-09,382.05000000000007,382.05000000000007,Day Ahead,101111.95000000003,103048.50000000004,382.05000000000007
2025-07-10,448.95000000000005,448.95000000000005,Day Ahead,101560.90000000002,103497.45000000004,448.95000000000005
2025-07-11,397.55,397.55,Day Ahead,101958.45000000003,103895.00000000004,397.55
2025-07-12,205.20000000000005,205.20000000000005,Day Ahead,102163.65000000002,104100.20000000004,205.20000000000005
2025-07-13,205.20000000000005,205.20000000000005,Day Ahead,102368.85000000002,104305.40000000004,205.20000000000005
